tree_dbh,health,spc_common,sidewalk
10,Fair,honeylocust,NoDamage
7,Good,honeylocust,NoDamage
12,Good,honeylocust,NoDamage
15,Good,London planetree,Damage
17,Good,London planetree,NoDamage
24,Good,London planetree,NoDamage
14,Good,willow oak,NoDamage
11,Good,London planetree,NoDamage
38,Good,London planetree,NoDamage
9,Poor,Norway maple,Damage
17,Fair,Norway maple,NoDamage
9,Good,Norway maple,NoDamage
41,Good,Norway maple,Damage
22,Good,Norway maple,Damage
12,Good,Norway maple,NoDamage
23,Fair,Norway maple,Damage
13,Poor,Norway maple,NoDamage
14,Fair,Norway maple,Damage
9,Good,Norway maple,NoDamage
31,Good,sweetgum,NoDamage
20,Good,Ohio buckeye,Damage
7,Fair,Sophora,Damage
10,Good,sweetgum,NoDamage
9,Good,sweetgum,NoDamage
15,Fair,Sophora,NoDamage
14,Good,Sophora,Damage
9,Good,Sophora,Damage
10,Good,Sophora,Damage
2,Good,Sophora,Damage
30,Good,tulip-poplar,NoDamage
6,Fair,Norway maple,NoDamage
18,Good,Norway maple,NoDamage
10,Good,Norway maple,NoDamage
5,Fair,Norway maple,NoDamage
20,Good,Norway maple,NoDamage
8,Good,Callery pear,Damage
3,Good,Callery pear,Damage
18,Good,Callery pear,NoDamage
9,Good,Callery pear,NoDamage
10,Fair,Callery pear,Damage
7,Good,Callery pear,NoDamage
12,Good,Callery pear,NoDamage
4,Good,Callery pear,NoDamage
8,Good,Callery pear,Damage
8,Good,Callery pear,NoDamage
10,Good,ginkgo,NoDamage
23,Fair,ginkgo,NoDamage
8,Good,honeylocust,NoDamage
4,Good,honeylocust,NoDamage
9,Good,ginkgo,NoDamage
7,Good,Japanese zelkova,NoDamage
4,Good,northern red oak,NoDamage
5,Fair,Japanese zelkova,Damage
6,Fair,Japanese zelkova,Damage
4,Good,black oak,NoDamage
3,Good,Japanese zelkova,NoDamage
11,Good,honeylocust,NoDamage
17,Good,ginkgo,NoDamage
3,Good,crab apple,NoDamage
12,Good,honeylocust,NoDamage
17,Good,ginkgo,Damage
2,Good,ginkgo,NoDamage
6,Good,honeylocust,NoDamage
2,Poor,American linden,NoDamage
9,Good,honeylocust,Damage
9,Good,honeylocust,NoDamage
9,Fair,American linden,NoDamage
5,Poor,American linden,NoDamage
2,Fair,honeylocust,NoDamage
7,Good,Callery pear,NoDamage
8,Good,Callery pear,NoDamage
10,Fair,Callery pear,NoDamage
7,Good,Callery pear,Damage
6,Good,Callery pear,NoDamage
6,Good,Callery pear,Damage
8,Good,Callery pear,NoDamage
11,Good,silver linden,Damage
9,Good,silver linden,NoDamage
16,Good,silver linden,Damage
8,Good,Callery pear,NoDamage
8,Good,Callery pear,NoDamage
10,Good,Callery pear,NoDamage
8,Good,Sophora,NoDamage
4,Good,white oak,Damage
3,Good,white oak,NoDamage
7,Good,Sophora,NoDamage
9,Fair,Sophora,NoDamage
5,Fair,Sophora,NoDamage
16,Good,Sophora,NoDamage
4,Fair,white oak,NoDamage
9,Good,Norway maple,Damage
3,Good,sawtooth oak,NoDamage
4,Good,Norway maple,NoDamage
3,Good,Norway maple,NoDamage
13,Good,Norway maple,NoDamage
11,Poor,Norway maple,NoDamage
4,Good,swamp white oak,NoDamage
5,Good,swamp white oak,Damage
38,Good,scarlet oak,NoDamage
23,Good,scarlet oak,NoDamage
3,Good,swamp white oak,Damage
4,Good,swamp white oak,NoDamage
15,Good,swamp white oak,NoDamage
12,Good,sweetgum,NoDamage
3,Good,sweetgum,NoDamage
8,Fair,Sophora,NoDamage
11,Good,Sophora,NoDamage
11,Good,Sophora,NoDamage
12,Good,sweetgum,NoDamage
13,Good,sweetgum,Damage
5,Good,Sophora,NoDamage
4,Good,Sophora,Damage
3,Good,sweetgum,Damage
6,Good,Sophora,NoDamage
21,Good,Sophora,NoDamage
8,Fair,Sophora,NoDamage
6,Fair,Sophora,NoDamage
13,Good,Sophora,NoDamage
7,Good,Sophora,Damage
3,Good,Sophora,NoDamage
10,Good,Sophora,NoDamage
13,Good,sweetgum,NoDamage
1,Good,Norway maple,Damage
9,Poor,Norway maple,Damage
13,Good,Norway maple,NoDamage
12,Poor,Norway maple,Damage
11,Good,Norway maple,Damage
7,Poor,Norway maple,NoDamage
21,Fair,Norway maple,Damage
9,Good,Norway maple,NoDamage
17,Fair,Norway maple,Damage
21,Good,Norway maple,Damage
9,Fair,Norway maple,NoDamage
18,Good,Norway maple,NoDamage
18,Fair,Norway maple,Damage
5,Good,scarlet oak,NoDamage
37,Good,scarlet oak,NoDamage
4,Good,swamp white oak,NoDamage
7,Good,swamp white oak,Damage
4,Poor,swamp white oak,NoDamage
5,Fair,swamp white oak,Damage
15,Good,swamp white oak,NoDamage
10,Good,Japanese zelkova,NoDamage
13,Good,Japanese zelkova,NoDamage
6,Good,Japanese zelkova,NoDamage
6,Good,Japanese zelkova,NoDamage
3,Good,Japanese zelkova,NoDamage
9,Good,Japanese zelkova,NoDamage
4,Fair,Japanese zelkova,NoDamage
26,Good,pignut hickory,Damage
3,Good,Japanese zelkova,NoDamage
3,Good,Japanese zelkova,NoDamage
14,Good,Japanese zelkova,NoDamage
11,Good,honeylocust,Damage
6,Good,honeylocust,NoDamage
2,Good,American linden,Damage
8,Good,honeylocust,NoDamage
10,Good,honeylocust,Damage
19,Good,ginkgo,Damage
6,Good,American linden,NoDamage
4,Good,ginkgo,Damage
13,Good,honeylocust,NoDamage
3,Fair,ginkgo,Damage
23,Good,honeylocust,NoDamage
7,Good,American linden,NoDamage
21,Fair,honeylocust,Damage
4,Good,honeylocust,NoDamage
7,Good,honeylocust,NoDamage
7,Good,ginkgo,Damage
12,Good,honeylocust,Damage
6,Good,honeylocust,NoDamage
4,Fair,Sophora,NoDamage
6,Good,Sophora,Damage
2,Fair,white oak,NoDamage
3,Good,Sophora,NoDamage
15,Good,Sophora,NoDamage
4,Good,Sophora,NoDamage
7,Good,Sophora,Damage
11,Good,Sophora,NoDamage
5,Good,Sophora,NoDamage
2,Good,Sophora,NoDamage
21,Good,Sophora,NoDamage
13,Good,sweetgum,NoDamage
3,Good,Sophora,Damage
3,Good,white oak,Damage
3,Good,white oak,Damage
8,Good,Sophora,NoDamage
34,Good,sweetgum,Damage
11,Good,white oak,NoDamage
11,Fair,Sophora,Damage
3,Fair,Sophora,NoDamage
17,Good,Sophora,NoDamage
28,Good,Sophora,Damage
9,Good,Norway maple,NoDamage
32,Good,Norway maple,Damage
8,Fair,Norway maple,NoDamage
3,Good,tulip-poplar,Damage
11,Good,Norway maple,NoDamage
11,Good,Callery pear,NoDamage
9,Good,Callery pear,Damage
5,Good,Callery pear,NoDamage
7,Fair,Callery pear,Damage
5,Good,Callery pear,NoDamage
7,Good,Callery pear,Damage
6,Good,Callery pear,Damage
6,Good,Callery pear,Damage
9,Good,Callery pear,Damage
15,Good,Callery pear,NoDamage
11,Good,Callery pear,Damage
6,Poor,silver linden,Damage
15,Good,Callery pear,Damage
4,Good,Norway maple,NoDamage
7,Poor,Norway maple,NoDamage
4,Good,Norway maple,NoDamage
7,Good,Norway maple,NoDamage
17,Fair,Norway maple,NoDamage
10,Good,Norway maple,NoDamage
10,Good,Norway maple,Damage
33,Fair,Norway maple,Damage
10,Fair,Norway maple,Damage
12,Fair,Norway maple,NoDamage
14,Fair,tulip-poplar,Damage
21,Good,Norway maple,Damage
10,Good,Norway maple,NoDamage
10,Good,honeylocust,NoDamage
3,Good,pin oak,NoDamage
12,Good,honeylocust,NoDamage
12,Good,honeylocust,Damage
6,Good,American linden,NoDamage
6,Fair,American linden,Damage
5,Good,ginkgo,Damage
4,Good,crab apple,NoDamage
13,Fair,honeylocust,NoDamage
9,Good,Norway maple,NoDamage
6,Fair,Norway maple,NoDamage
10,Fair,Norway maple,Damage
10,Good,Norway maple,NoDamage
22,Good,Norway maple,Damage
3,Fair,silver linden,NoDamage
6,Fair,Callery pear,NoDamage
9,Good,Callery pear,NoDamage
12,Good,Callery pear,NoDamage
12,Good,Callery pear,NoDamage
10,Good,Callery pear,NoDamage
4,Fair,Norway maple,NoDamage
18,Fair,Norway maple,NoDamage
6,Fair,Norway maple,NoDamage
12,Good,Norway maple,NoDamage
10,Good,Norway maple,NoDamage
8,Good,Norway maple,Damage
18,Good,Norway maple,NoDamage
2,Good,sawtooth oak,NoDamage
8,Good,Norway maple,NoDamage
13,Fair,Norway maple,NoDamage
6,Fair,Norway maple,Damage
28,Good,Norway maple,Damage
3,Fair,tulip-poplar,NoDamage
25,Good,Norway maple,NoDamage
11,Fair,Norway maple,NoDamage
9,Fair,Norway maple,Damage
20,Fair,Norway maple,NoDamage
22,Good,Norway maple,Damage
12,Poor,Norway maple,NoDamage
21,Fair,Norway maple,NoDamage
3,Good,Sophora,Damage
16,Good,Sophora,NoDamage
12,Good,Sophora,Damage
4,Good,crab apple,NoDamage
12,Good,ginkgo,NoDamage
9,Good,honeylocust,NoDamage
2,Good,American linden,NoDamage
8,Good,honeylocust,NoDamage
15,Good,honeylocust,NoDamage
4,Good,American linden,NoDamage
6,Good,American linden,NoDamage
3,Good,ginkgo,NoDamage
